=== Windows Services ===
Collection Time: 2025-05-21 17:07:34

Name                                          PathName                                                                                                                                                                                                                                                                                                                                                                                                                    StartMode  StartName                    State    Status   
RetailDemo                                    C:\WINDOWS\System32\svchost.exe -k rdxgroup                                                                                                                                                                                                                                                                                                                                                                                 Manual     LocalSystem                  Stopped  OK       

RmSvc                                         C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted                                                                                                                                                                                                                                                                                                                                                            Manual     NT AUTHORITY\LocalService    Running  OK       

RpcEptMapper                                  C:\WINDOWS\system32\svchost.exe -k RPCSS -p                                                                                                                                                                                                                                                                                                                                                                                 Auto       NT AUTHORITY\NetworkService  Running  OK       

RpcLocator                                    C:\WINDOWS\system32\locator.exe                                                                                                                                                                                                                                                                                                                                                                                             Manual     NT AUTHORITY\NetworkService  Running  OK       

RpcSs                                         C:\WINDOWS\system32\svchost.exe -k rpcss -p                                                                                                                                                                                                                                                                                                                                                                                 Auto       NT AUTHORITY\NetworkService  Running  OK       

RtkAudioUniversalService                      "C:\WINDOWS\System32\RtkAudUService64.exe"                                                                                                                                                                                                                                                                                                                                                                                  Auto       LocalSystem                  Running  OK       

